Kategori,Uraian
Jasa Perantara Keuangan,"Perbankan (Bank Umum)

Suku Bunga Acuan (BI Rate)

Kredit/Pinjaman

Kredit Usaha Rakyat (KUR)

Tabungan/Deposito

ATM/Mobile Banking

OJK (Otoritas Jasa Keuangan)

LPS (Lembaga Penjamin Simpanan)

Transfer Dana (BI-FAST)

Kredit Macet (NPL)

Perbankan Syariah

BPR (Bank Perkreditan Rakyat)

Lembaga Pembiayaan

Kartu Kredit/Debit

Laba Bersih Bank"
Asuransi dan Dana Pensiun,"Asuransi Jiwa/Kesehatan

Asuransi Umum

BPJS Ketenagakerjaan/Kesehatan

Dana Pensiun

Taspen/Asabri

Premi Asuransi

Klaim

Polis Asuransi

Agen Asuransi

Aktuaris

Investasi Dana Pensiun

Jaminan Hari Tua (JHT)

Asuransi Syariah (Takaful)

Reasuransi

Literasi Asuransi"
Jasa Keuangan Lainnya,"Pegadaian

Modal Ventura

Fintech Lending (Pinjol)

Pasar Modal

Bursa Efek Indonesia (BEI)

Perusahaan Sekuritas

Saham/Reksadana/Obligasi

Manajer Investasi

IPO (Initial Public Offering)

Investor

Trading Saham

Crowdfunding

Koperasi Simpan Pinjam

Anjak Piutang

Sewa Guna Usaha (Leasing)"
Jasa Penunjang Keuangan,"Jasa Penilaian (Appraisal)

Konsultan Keuangan

Kustodian

Wali Amanat

Biro Kredit

Payment Gateway

Uang Elektronik (e-money)

QRIS

Mesin EDC

Agen Laku Pandai

Kliring (SKNBI)

Real-Time Gross Settlement (RTGS)

Blokir Rekening

Inkaso

Letter of Credit (L/C)"
Real Estate,"Developer/Pengembang Properti

Perumahan

Apartemen

Kawasan Industri

Perkantoran

Pusat Perbelanjaan (Mal)

Harga Properti

KPR (Kredit Pemilikan Rumah)

Agen Properti

Sewa Properti

NJOP (Nilai Jual Objek Pajak)

PBB (Pajak Bumi dan Bangunan)

Sertifikat Tanah (SHM/HGB)

Pasar Properti

Investasi Properti

REI (Real Estate Indonesia)

Pemasaran Properti

Tata Ruang (RTRW)

Izin Mendirikan Bangunan (IMB)

Rumah Subsidi (FLPP)

Lahan (Land Bank)

Indeks Harga Properti

Kondominium Hotel (Kondotel)

Properti Komersial

Manajemen Gedung"
Jasa Perusahaan,"Jasa Hukum/Advokat

Akuntan Publik

Konsultan Pajak/Manajemen

Jasa Arsitektur/Rekayasa

Periklanan

Riset Pasar

Jasa Ketenagakerjaan (Outsourcing)

Jasa Kebersihan (Cleaning Service)

Jasa Keamanan (Satpam)

Jasa Komputer dan TI

Riset dan Pengembangan (R&D)

Jasa Profesional

Alih Daya (BPO)

Headhunter/Rekrutmen

Desain Grafis

Event Organizer (EO)

Notaris/PPAT

Jasa Penerjemah

Jasa Penagihan (Debt Collector)

Call Center

Jasa Administrasi Kantor

Sewa Kantor (Virtual/Serviced Office)

Jasa Konsultasi Bisnis

Jasa Survei

Hubungan Masyarakat (Public Relations)"
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","Aparatur Sipil Negara (ASN/PNS)

Gaji Pegawai

Belanja Pemerintah

APBN/APBD

Kementerian/Lembaga

TNI/Polri

Alutsista

Pertahanan Negara

Pelayanan Publik

Direktorat Jenderal Pajak/Bea Cukai

BPJS (Kesehatan/Ketenagakerjaan)

Jaminan Sosial

Administrasi Kependudukan (Dukcapil)

Pemilu/Pilkada

Anggaran Pertahanan

Penegakan Hukum

Pengadilan/Kejaksaan

Diplomasi Luar Negeri

Tata Kelola Pemerintahan

Badan Pusat Statistik (BPS)

Pemerintah Daerah (Pemda)

Badan Usaha Milik Negara (BUMN)

Lembaga Pemerintah Non-Kementerian (LPNK)

Dana Pensiun (Taspen/Asabri)

Keamanan Nasional"
Jasa Pendidikan,"Sekolah (SD, SMP, SMA/SMK)

Perguruan Tinggi (Universitas)

Guru/Dosen

Kurikulum Merdeka

Ujian Sekolah/SNBT

Biaya Pendidikan (SPP)

Dana BOS

Kemendikbudristek

Sekolah Swasta/Negeri

Pendidikan Vokasi

Beasiswa

Akreditasi

Riset Ilmiah/Publikasi

Bimbingan Belajar

Platform Edu-tech

Sarana Prasarana Pendidikan

Wajib Belajar

Angka Partisipasi Kasar (APK)

Pondok Pesantren

Pendidikan Anak Usia Dini (PAUD)

Pelatihan Kerja

Program Magang

Perpustakaan

Kelulusan/Wisuda

Ikatan Alumni"
Jasa Kesehatan dan Kegiatan Sosial,"Rumah Sakit

Puskesmas

Klinik

Dokter/Perawat/Bidan

Apotek

Industri Farmasi (Obat)

BPJS Kesehatan

Alat Kesehatan

Pasien

Angka Harapan Hidup

Penanganan Stunting

Program Imunisasi

Layanan Gawat Darurat (IGD)

Kementerian Kesehatan

Ikatan Dokter Indonesia (IDI)

Panti Asuhan/Panti Jompo

Kegiatan Amal/Donasi

Lembaga Swadaya Masyarakat (LSM)

Bantuan Sosial

Penanggulangan Bencana (BNPB)

Donor Darah (PMI)

Relawan Sosial

Rehabilitasi (Narkoba, Sosial)

Kesehatan Ibu dan Anak (KIA)

Vaksinasi"
Jasa lainnya,"Salon Kecantikan/Barbershop

Spa/Pijat Refleksi

Jasa Binatu (Laundry)

Jasa Reparasi Elektronik

Studio Fotografi

Jasa Hiburan (Bioskop, Konser)

Organisasi Kemasyarakatan

Kesenian dan Kreativitas

Museum/Galeri Seni

Kebun Binatang/Taman Safari

Jasa Pernikahan (Wedding Organizer)

Jasa Pemakaman

Asisten Rumah Tangga (ART)

Jasa Perawatan Hewan (Pet Shop/Grooming)

Pusat Kebugaran (Gym)

Reparasi Komputer/Ponsel

Jasa Penerjemah

Jasa Pengetikan

Organisasi Politik

Jasa Parkir

Toilet Umum

Aktivitas Keagamaan

Bengkel Las

Cuci Kendaraan

Jasa Perawatan Taman"
,
